
20100721,A,27.68,28.2,27.41,27.58,44528
20100722,A,27.95,28.87,27.95,28.72,36494
20100723,A,28.56,29.41,28.45,29.3,37153
20100726,A,29.22,29.67,29.11,29.64,21256
20100727,A,29.73,29.73,28.81,28.87,33410
20100728,A,28.79,29.27,28.74,28.78,31156
20100729,A,28.97,29.15,27.78,28.15,44085
20100730,A,27.78,28.17,27.66,27.93,36943
20100802,A,28.35,28.97,28.2,28.82,28989
20100803,A,28.7,28.73,27.8,27.84,42401
20100804,A,27.86,28.35,27.75,28.29,23525
20100805,A,28.03,28.63,27.96,28.46,20682
20100806,A,28.18,28.75,28.07,28.73,33777
20100809,A,28.92,29.87,28.87,29.82,36889
20100810,A,29.44,29.68,29.13,29.46,34866
20100811,A,28.86,28.9,27.98,28.22,28271
20100812,A,27.65,27.78,27.41,27.53,32566
20100813,A,27.39,27.85,27.3,27.35,24469
20100816,A,27.11,27.68,27,27.16,33231
20100817,A,28.87,29.53,28.42,29.28,73050
20100819,A,29.25,29.26,28.22,28.54,33832
20100820,A,28.26,28.66,27.99,28.56,33738
20100721,AA,10.95,11.01,10.53,10.59,250893
20100722,AA,10.8,10.99,10.73,10.82,258437
20100723,AA,10.87,11.12,10.67,11.05,250988
20100726,AA,11.14,11.37,11.01,11.23,264268
20100727,AA,11.35,11.42,11.11,11.21,244525
20100728,AA,11.14,11.28,10.96,11.04,187010
20100729,AA,11.1,11.2,10.87,11.02,144207
20100730,AA,10.95,11.28,10.86,11.17,226488
